model_type,feature_variant,config_name,target_mode,feature_count,best_iteration,validation_MAE,validation_RMSE,validation_R2
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_007,raw,39,521,37.73817759954838,177.22686098574033,0.902295301201688
xgboost,trusted_registry_lifecycle_stack,raw_absoluteerror_balanced,raw,40,361,37.941649285288804,145.36485994826904,0.9342682449978365
xgboost,trusted_recommended_features_without_date_offsets,raw_absoluteerror_balanced,raw,66,768,38.21355667340113,180.60678267247442,0.8985330813744433
xgboost,trusted_registry_lifecycle_stack,log_absoluteerror_regularized,log,40,2599,38.26950191365891,156.09637543345207,0.9242047487136563
xgboost,trusted_manual_all_features_usable_by_xgboost,raw_absoluteerror_balanced,raw,63,270,38.56990222422734,158.19907433695894,0.9221489928332043
xgboost,trusted_recommended_features_without_date_offsets,log_absoluteerror_regularized,log,66,2591,38.70482581896944,160.198873953649,0.9201683183766993
xgboost,trusted_registry_lifecycle_stack,random_search_001,raw,40,466,38.753512562401134,181.26386326278123,0.8977934278113273
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_007,raw,63,1126,38.82239936300112,187.56126717199984,0.890568418459997
xgboost,trusted_registry_lifecycle_stack,random_search_007,raw,40,880,38.83168733369817,188.4800816675604,0.8894936379077777
xgboost,trusted_extended_traficom_stack,random_search_007,raw,62,820,39.082164070124875,184.97710165307276,0.8935630796576995
xgboost,trusted_registry_lifecycle_stack,random_search_006,raw,40,559,39.53571217674134,166.05614909399662,0.9142239024186971
xgboost,trusted_extended_traficom_stack,random_search_001,raw,62,491,39.596585313380295,189.25428318464932,0.8885839406730381
xgboost,trusted_recommended_features,log_absoluteerror_regularized,log,67,2599,39.76406769950104,169.99468858873388,0.9101067537774544
xgboost,trusted_recommended_features,random_search_007,raw,67,856,39.96807189814927,205.757344562336,0.8683056775381667
xgboost,trusted_recommended_features_without_date_offsets,random_search_007,raw,66,766,40.07852646696137,198.43864093898557,0.8775076836129406
xgboost,trusted_extended_traficom_stack,raw_absoluteerror_balanced,raw,62,357,40.128161204164726,185.95803078878984,0.892431221611968
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_012,raw,39,2457,40.21953419741262,166.3780962433214,0.913890977195775
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_001,raw,63,166,40.62303831553303,195.95981482405253,0.8805488321185059
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_006,raw,63,356,41.270626794917824,198.56842779977237,0.8773474014010665
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_012,raw,63,2457,41.75649633684266,182.77462075193517,0.8960826310776512
xgboost,trusted_recommended_features_without_date_offsets,random_search_012,raw,66,1076,42.37830798395856,192.19071236678434,0.8850997026782059
