product_id,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
63350256,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
63350268,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
63461617,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
64546407,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
64597454,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
64976681,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
65399928,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
65680788,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
65865835,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
66223598,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
66394997,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
53430480,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
53520567,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
53989464,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
53998555,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
54017432,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
54027520,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
54037329,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
54683089,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
57336307,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
58994403,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
60048809,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
